profile_name,rank,onet_soc_code,soc_code,occupation_title,baseline_score,salary_weight,employment_weight,a_median,tot_emp,median_wage_percentile,employment_percentile,labor_market_opportunity_score
Data and Technology,1,11-3031.00,11-3031,Financial Managers,0.9520062057625351,0.5555555555555556,0.4444444444444444,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Data and Technology,2,11-3031.03,11-3031,Investment Fund Managers,0.9520062057625351,0.5555555555555556,0.4444444444444444,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Data and Technology,3,11-3031.01,11-3031,Treasurers and Controllers,0.9520062057625351,0.5555555555555556,0.4444444444444444,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Data and Technology,4,11-3021.00,11-3021,Computer and Information Systems Managers,0.9518052005915503,0.5555555555555556,0.4444444444444444,175140.0,670570.0,0.9665271966527196,0.9334027055150884,0.949964951083904
Data and Technology,5,15-1252.00,15-1252,Software Developers,0.9511152279679225,0.5555555555555556,0.4444444444444444,135980.0,1687890.0,0.9278242677824268,0.980228928199792,0.9540265979911092
Healthcare,1,15-1252.00,15-1252,Software Developers,0.9605771805432801,0.375,0.625,135980.0,1687890.0,0.9278242677824268,0.980228928199792,0.9540265979911092
Healthcare,2,11-3031.00,11-3031,Financial Managers,0.9503565302008454,0.375,0.625,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Healthcare,3,11-3031.03,11-3031,Investment Fund Managers,0.9503565302008454,0.375,0.625,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Healthcare,4,11-3031.01,11-3031,Treasurers and Controllers,0.9503565302008454,0.375,0.625,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Healthcare,5,11-3021.00,11-3021,Computer and Information Systems Managers,0.9458243896917,0.375,0.625,175140.0,670570.0,0.9665271966527196,0.9334027055150884,0.949964951083904
Business,1,11-3031.00,11-3031,Financial Managers,0.9520062057625351,0.5555555555555556,0.4444444444444444,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Business,2,11-3031.03,11-3031,Investment Fund Managers,0.9520062057625351,0.5555555555555556,0.4444444444444444,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Business,3,11-3031.01,11-3031,Treasurers and Controllers,0.9520062057625351,0.5555555555555556,0.4444444444444444,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Business,4,11-3021.00,11-3021,Computer and Information Systems Managers,0.9518052005915503,0.5555555555555556,0.4444444444444444,175140.0,670570.0,0.9665271966527196,0.9334027055150884,0.949964951083904
Business,5,15-1252.00,15-1252,Software Developers,0.9511152279679225,0.5555555555555556,0.4444444444444444,135980.0,1687890.0,0.9278242677824268,0.980228928199792,0.9540265979911092
Skilled Trades,1,15-1252.00,15-1252,Software Developers,0.9569379680142963,0.4444444444444444,0.5555555555555556,135980.0,1687890.0,0.9278242677824268,0.980228928199792,0.9540265979911092
Skilled Trades,2,11-3031.00,11-3031,Financial Managers,0.9509910208014953,0.4444444444444444,0.5555555555555556,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Skilled Trades,3,11-3031.03,11-3031,Investment Fund Managers,0.9509910208014953,0.4444444444444444,0.5555555555555556,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Skilled Trades,4,11-3031.01,11-3031,Treasurers and Controllers,0.9509910208014953,0.4444444444444444,0.5555555555555556,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Skilled Trades,5,11-3021.00,11-3021,Computer and Information Systems Managers,0.9481247015762579,0.4444444444444444,0.5555555555555556,175140.0,670570.0,0.9665271966527196,0.9334027055150884,0.949964951083904
Creative Careers,1,11-3021.00,11-3021,Computer and Information Systems Managers,0.953277400197667,0.6,0.4,175140.0,670570.0,0.9665271966527196,0.9334027055150884,0.949964951083904
Creative Careers,2,11-3031.00,11-3031,Financial Managers,0.9524122797469511,0.6,0.4,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Creative Careers,3,11-3031.03,11-3031,Investment Fund Managers,0.9524122797469511,0.6,0.4,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Creative Careers,4,11-3031.01,11-3031,Treasurers and Controllers,0.9524122797469511,0.6,0.4,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Creative Careers,5,15-1252.00,15-1252,Software Developers,0.9487861319493729,0.6,0.4,135980.0,1687890.0,0.9278242677824268,0.980228928199792,0.9540265979911092
Social Services,1,15-1252.00,15-1252,Software Developers,0.9652561680805447,0.2857142857142857,0.7142857142857143,135980.0,1687890.0,0.9278242677824268,0.980228928199792,0.9540265979911092
Social Services,2,11-3031.00,11-3031,Financial Managers,0.9495407565714384,0.2857142857142857,0.7142857142857143,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Social Services,3,11-3031.03,11-3031,Investment Fund Managers,0.9495407565714384,0.2857142857142857,0.7142857142857143,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Social Services,4,11-3031.01,11-3031,Treasurers and Controllers,0.9495407565714384,0.2857142857142857,0.7142857142857143,166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152
Social Services,5,11-1021.00,11-1021,General and Operations Managers,0.9487564321136392,0.2857142857142857,0.7142857142857143,105770.0,3503020.0,0.8284518828451883,0.9968782518210196,0.912665067333104
