onet_soc_code,rank,soc_code,occupation_title,occupation_description,knn_similarity,euclidean_distance,interest_score,skill_score,education_score,job_zone_score,labor_market_score,profile_name,weight_interest,weight_skill,weight_education,weight_job_zone,weight_labor_market,model,distance_metric,why
15-2051.01,1,15-2051,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,0.7869689978303464,0.2706980869093633,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1252.00,2,15-1252,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",0.7844244704915586,0.2748199955737629,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1243.01,3,15-1243,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",0.7839977650368504,0.2755138402122827,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
15-1243.00,4,15-1243,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",0.7814119308700892,0.27973474744174515,0.9731805024357021,0.45624297570643657,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-2051.02,5,15-2051,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",0.7809614973662243,0.28047285733352834,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1251.00,6,15-1251,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",0.779971976705725,0.2820973443476535,0.9450175814901981,0.49898101603289385,1.0,1.0,0.7094074773923607,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
33-3021.06,7,33-3021,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",0.7788656423824196,0.28391849066697505,0.9939533112194125,0.353528725632389,1.0,1.0,0.7076618043249734,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.99); Education fit (1.00)."
15-1212.00,8,15-1212,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",0.7777205188306068,0.2858089452283147,0.9537384975150882,0.3821900129753109,1.0,1.0,0.847589703697576,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1299.06,9,15-1299,Digital Forensics Analysts,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",0.7762861911079867,0.2881847074629893,0.9690860054640045,0.33065421341907825,1.0,1.0,0.8772334311026355,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1299.07,10,15-1299,Blockchain Engineers,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",0.7753882109959167,0.2896765591981202,0.9691871765303878,0.33065421341907825,1.0,1.0,0.8772334311026355,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_euclidean,euclidean,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
