onet_soc_code,rank,soc_code,occupation_title,occupation_description,knn_similarity,manhattan_distance,interest_score,skill_score,education_score,job_zone_score,labor_market_score,profile_name,weight_interest,weight_skill,weight_education,weight_job_zone,weight_labor_market,model,distance_metric,why
33-3021.06,1,33-3021,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",0.4071005867338983,1.4563953788984612,0.9939533112194125,0.353528725632389,1.0,1.0,0.7076618043249734,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Investigative interest, 0.99); Education fit (1.00)."
15-2051.01,2,15-2051,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,0.40700888710954924,1.4569488079282233,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
23-2011.00,3,23-2011,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",0.40237241062857615,1.4852598577467697,0.9759821510090068,0.28821263976666217,1.0,1.0,0.6467531254973728,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Investigative interest, 0.98); Education fit (1.00)."
15-1252.00,4,15-1252,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",0.3955655035775196,1.5280263090586421,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1243.01,5,15-1243,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",0.39312881002826383,1.5436955381827786,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
15-1299.03,6,15-1299,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",0.39246826063680196,1.5479767418069514,0.9064214254706894,0.3976711083628962,1.0,1.0,0.8772334311026355,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Conventional interest, 0.91); Education fit (1.00)."
15-1243.00,7,15-1243,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",0.39082999816185177,1.5586572287265337,0.9731805024357021,0.45624297570643657,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
13-2041.00,8,13-2041,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.,0.3903843483716474,1.5615781067328962,0.8745887901549827,0.4114918553350302,1.0,1.0,0.6314687503477074,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Conventional interest, 0.87); Education fit (1.00)."
15-1251.00,9,15-1251,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",0.38913542269794194,1.569799462271592,0.9450175814901981,0.49898101603289385,1.0,1.0,0.7094074773923607,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-2051.02,10,15-2051,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",0.38611021036897314,1.5899340995007198,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
29-1215.00,1,29-1215,Family Medicine Physicians,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",0.40351880257431905,1.478199265115589,0.9805187319884263,0.4843703216081981,1.0,1.0,0.7668604878983276,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1229.02,2,29-1229,Hospitalists,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.",0.40196498615213594,1.4877788724153187,0.977050016458834,0.4737072804045514,1.0,1.0,0.8960350641547551,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
