feature,role,reason
onet_soc_code,display_only,"Retained to identify and explain recommendations, but not used as a model input."
soc_code,display_only,"Retained to identify and explain recommendations, but not used as a model input."
occupation_title,display_only,"Retained to identify and explain recommendations, but not used as a model input."
occupation_description,display_only,"Retained to identify and explain recommendations, but not used as a model input."
essential_skill_active_learning_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_active_learning_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_active_listening_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_active_listening_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_critical_thinking_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_critical_thinking_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_learning_strategies_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_learning_strategies_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_mathematics_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_mathematics_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_monitoring_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_monitoring_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_reading_comprehension_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_reading_comprehension_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_science_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_science_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_speaking_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_speaking_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_writing_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_writing_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_complex_problem_solving_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_complex_problem_solving_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_coordination_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_coordination_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_equipment_maintenance_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_equipment_maintenance_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_equipment_selection_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_equipment_selection_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_installation_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_installation_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_instructing_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_instructing_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_judgment_and_decision_making_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_judgment_and_decision_making_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_management_of_financial_resources_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_management_of_financial_resources_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_management_of_material_resources_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
