onet_soc_code,soc_code,occupation_title,occupation_description,a_median,tot_emp,median_wage_percentile,employment_percentile,labor_market_opportunity_score,interest_realistic,interest_investigative,interest_artistic,interest_social,interest_enterprising,interest_conventional,job_zone,education_expected_category,education_bachelors_or_higher_pct,essential_skill_active_learning_im,essential_skill_active_listening_im,essential_skill_critical_thinking_im,essential_skill_mathematics_im,essential_skill_reading_comprehension_im,essential_skill_science_im,essential_skill_speaking_im,essential_skill_writing_im,transferable_skill_complex_problem_solving_im,transferable_skill_coordination_im,transferable_skill_instructing_im,transferable_skill_judgment_and_decision_making_im,transferable_skill_management_of_financial_resources_im,transferable_skill_management_of_material_resources_im,transferable_skill_management_of_personnel_resources_im,transferable_skill_negotiation_im,transferable_skill_operation_and_control_im,transferable_skill_operations_analysis_im,transferable_skill_operations_monitoring_im,transferable_skill_persuasion_im,transferable_skill_programming_im,transferable_skill_quality_control_analysis_im,transferable_skill_repairing_im,transferable_skill_service_orientation_im,transferable_skill_social_perceptiveness_im,transferable_skill_systems_analysis_im,transferable_skill_systems_evaluation_im,transferable_skill_technology_design_im,transferable_skill_time_management_im,transferable_skill_troubleshooting_im
11-1011.00,11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",213990.0,204350.0,0.9701882845188284,0.7767950052029137,0.873491644860871,1.26,3.05,2.16,3.54,6.96,4.97,5.0,7.2413,90.39,3.75,4.0,4.38,3.25,4.12,1.62,4.25,4.12,4.38,4.25,3.38,4.75,4.25,4.0,4.25,4.12,1.88,3.12,2.0,4.0,1.75,1.88,1.0,3.12,4.12,4.12,4.25,1.75,4.0,1.5
11-1011.03,11-1011,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",213990.0,204350.0,0.9701882845188284,0.7767950052029137,0.873491644860871,2.04,4.78,2.48,3.55,6.68,4.49,5.0,7.7037,100.0,3.75,4.0,4.12,2.88,4.0,2.12,4.0,4.12,4.0,3.75,3.25,3.88,2.88,2.25,3.12,3.12,2.0,2.88,2.0,3.88,1.88,1.88,1.0,3.25,3.88,3.88,3.88,1.88,3.38,1.0
11-1021.00,11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",105770.0,3503020.0,0.8284518828451883,0.9968782518210196,0.912665067333104,2.2,2.37,1.29,3.38,7.0,5.34,4.0,3.6732,27.59,3.62,4.0,3.88,2.62,4.0,1.5,4.0,3.5,3.62,3.88,3.0,3.62,3.0,3.12,3.75,3.5,1.88,2.5,2.25,3.62,1.5,2.38,1.0,3.25,3.75,3.12,3.12,1.5,3.62,1.75
11-1031.00,11-1031,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,,,,,1.54,3.35,2.7,3.69,5.52,3.62,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2011.00,11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",133660.0,21470.0,0.9194560669456068,0.3142559833506764,0.6168560251481415,1.0,1.69,3.87,3.14,7.0,4.43,4.0,5.207000000000001,68.31,3.25,4.12,4.0,3.0,3.75,1.62,4.0,3.75,3.5,3.5,2.88,3.75,2.75,2.62,3.12,3.12,1.0,2.75,1.62,3.38,1.75,1.62,1.0,3.12,4.0,3.12,3.12,1.75,3.5,1.0
11-2021.00,11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",166790.0,395240.0,0.9581589958158996,0.8678459937565036,0.9130024947862015,1.0,2.9,2.45,2.82,7.0,4.7,4.0,6.680499999999999,90.64,3.88,3.88,3.88,2.75,3.88,1.75,3.88,3.25,3.62,3.5,3.0,3.75,2.88,2.62,3.38,3.62,1.0,3.38,1.75,3.75,1.88,1.88,1.0,3.12,3.88,3.25,3.5,1.75,3.5,1.0
11-2022.00,11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",148270.0,637080.0,0.9476987447698744,0.927159209157128,0.9374289769635012,1.49,1.67,1.36,3.37,7.0,5.53,4.0,5.6666,76.19000000000001,3.75,4.0,3.88,3.0,3.88,1.62,4.0,3.62,3.75,3.75,3.75,3.88,3.0,2.75,3.88,4.0,1.75,2.62,1.75,3.88,1.62,1.75,1.0,3.62,3.88,3.62,3.62,1.5,3.75,1.0
11-2032.00,11-2032,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",146910.0,74850.0,0.9435146443514644,0.5775234131113424,0.7605190287314034,1.0,2.34,3.67,4.18,7.0,4.39,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2033.00,11-2033,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",125470.0,38810.0,0.9006276150627615,0.4474505723204995,0.6740390936916305,1.0,2.41,2.61,3.76,7.0,4.82,4.0,5.786299999999999,76.41999999999999,3.38,4.0,4.12,3.0,3.88,1.25,4.12,3.88,3.62,3.75,2.62,3.75,3.25,2.62,3.12,3.38,1.12,2.0,1.75,4.0,1.88,1.25,1.0,3.38,4.0,3.12,3.0,1.75,3.5,1.0
11-3012.00,11-3012,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",114130.0,263960.0,0.854602510460251,0.8126951092611863,0.8336488098607187,1.42,2.12,1.11,3.74,6.47,6.27,3.0,3.963203679632037,28.27,3.12,4.0,3.75,2.25,4.0,1.0,3.88,3.75,3.25,3.75,3.0,3.25,2.88,2.88,3.38,3.62,1.62,2.75,2.25,3.0,1.38,2.25,1.0,3.25,3.25,3.12,2.75,1.5,4.0,1.88
11-3013.00,11-3013,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",106660.0,156180.0,0.8362970711297071,0.7278876170655567,0.782092344097632,4.15,2.6,1.61,3.58,5.35,5.35,3.0,4.341765823417659,7.42,3.12,3.75,3.75,2.75,3.75,1.5,3.88,3.25,3.38,3.62,3.25,3.5,2.5,2.75,3.5,3.0,2.25,1.88,2.88,3.12,1.62,2.88,2.25,3.0,3.62,3.0,3.0,1.62,3.38,2.62
11-3013.01,11-3013,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",106660.0,156180.0,0.8362970711297071,0.7278876170655567,0.782092344097632,3.39,3.69,1.3,2.75,5.63,5.43,4.0,6.05,85.0,3.62,4.12,4.25,2.5,4.12,1.38,4.0,3.75,4.0,3.88,3.38,4.12,3.62,3.25,3.75,3.38,2.0,2.25,2.25,3.38,1.62,2.5,1.75,3.38,4.0,3.25,3.38,1.62,3.5,2.0
11-3021.00,11-3021,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",175140.0,670570.0,0.9665271966527196,0.9334027055150884,0.949964951083904,2.68,4.49,1.47,2.35,5.09,5.94,4.0,5.550855085508551,64.84,3.38,4.0,4.12,3.12,4.0,1.75,3.88,3.75,3.75,3.75,3.12,3.88,3.0,2.75,3.62,3.0,2.0,3.12,2.88,3.12,2.75,2.75,1.5,2.88,3.62,3.62,3.62,2.5,3.38,2.5
11-3031.00,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152,1.36,2.46,1.59,3.04,7.0,5.56,4.0,5.51024897510249,77.31,3.5,4.0,4.0,3.5,4.0,1.25,4.0,3.75,3.62,3.62,2.88,3.62,3.12,2.38,3.62,3.12,1.12,1.75,1.88,3.38,1.88,1.88,1.0,3.62,3.62,3.0,3.0,1.62,3.62,1.25
11-3031.01,11-3031,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152,1.0,2.2,1.17,2.68,6.15,6.44,4.0,6.8,96.0,3.62,3.88,4.12,3.75,4.12,1.25,4.0,3.62,4.12,3.38,2.88,4.12,4.0,2.75,3.12,3.12,1.12,2.62,1.88,3.0,1.62,1.88,1.0,2.75,3.12,3.25,3.62,1.62,3.38,1.0
