onet_soc_code,rank,soc_code,occupation_title,occupation_description,interest_score,skill_score,education_score,job_zone_score,labor_market_score,overall_score,profile_name,weight_interest,weight_skill,weight_education,weight_job_zone,weight_labor_market,model,why
15-1252.00,1,15-1252,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,0.815732897507074,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-2051.02,2,15-2051,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,0.7977415491521234,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1241.00,3,15-1241,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",0.9617007233987602,0.43568038081777144,1.0,1.0,0.8483729828731985,0.7964702786959392,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.96); Education fit (1.00)."
15-2051.01,4,15-2051,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,0.7956729177368096,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1299.08,5,15-1299,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",0.9555473722762471,0.42448453057295665,1.0,1.0,0.8772334311026355,0.7955945855201564,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.96); Education fit (1.00)."
15-1211.00,6,15-1211,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",0.9661764012649399,0.4143887791739847,1.0,1.0,0.8660250344563016,0.7940733093001225,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1243.01,7,15-1243,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,0.7938933983986664,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
15-1243.00,8,15-1243,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",0.9731805024357021,0.45624297570643657,1.0,1.0,0.7627195032100356,0.7932349689241469,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1299.01,9,15-1299,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",0.9665585138755125,0.40005622709167543,1.0,1.0,0.8772334311026355,0.7915694369555516,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1299.02,10,15-1299,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",0.9201984593177155,0.44219762909124716,1.0,1.0,0.8772334311026355,0.790303841188084,Data and Technology,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.92); Education fit (1.00)."
29-1229.02,1,29-1229,Hospitalists,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.",0.977050016458834,0.4737072804045514,1.0,1.0,0.8960350641547551,0.8196324486822288,Healthcare,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1141.00,2,29-1141,Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.",0.9712638322746908,0.467453233643344,1.0,1.0,0.9070549277469862,0.8176733589374584,Healthcare,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Social interest, 0.97); Education fit (1.00)."
29-1171.00,3,29-1171,Nurse Practitioners,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",0.9754416939000632,0.473650336712443,1.0,1.0,0.8656035978474306,0.8145681488608665,Healthcare,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1141.04,4,29-1141,Clinical Nurse Specialists,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",0.9784062253910011,0.44180898738032515,1.0,1.0,0.9070549277469862,0.8121228029934457,Healthcare,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1141.02,5,29-1141,Advanced Practice Psychiatric Nurses,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",0.9638477151899614,0.45341386538101813,1.0,1.0,0.9070549277469862,0.8112367133333418,Healthcare,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Social interest, 0.96); Education fit (1.00)."
29-1141.03,6,29-1141,Critical Care Nurses,Provide specialized nursing care for patients in critical or coronary care units.,0.9656421892590072,0.45071596851517404,1.0,1.0,0.9070549277469862,0.8109656864943023,Healthcare,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Social interest, 0.97); Education fit (1.00)."
29-1229.01,7,29-1229,Allergists and Immunologists,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system.",0.9453759630739021,0.47062378068981625,1.0,1.0,0.8960350641547551,0.8092051827523288,Healthcare,0.3,0.3,0.15,0.1,0.15,weighted,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
