onet_soc_code,rank,soc_code,occupation_title,occupation_description,knn_similarity,cosine_distance,interest_score,skill_score,education_score,job_zone_score,labor_market_score,profile_name,weight_interest,weight_skill,weight_education,weight_job_zone,weight_labor_market,model,distance_metric,why
15-2051.01,1,15-2051,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,0.9050214141843895,0.10494623036208006,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1252.00,2,15-1252,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",0.9050131352827636,0.10495633821663652,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1243.01,3,15-1243,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",0.9007376586002349,0.110201167289953,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
15-2051.02,4,15-2051,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",0.9006899735278094,0.11025994447702625,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
13-2099.01,5,13-2099,Financial Quantitative Analysts,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",0.9004939475637203,0.11050163380386135,0.9836898933719765,0.4608848831907683,0.0,0.0,0.6794942313209111,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.98); Skills (Mathematics, 0.46)."
15-1243.00,6,15-1243,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",0.8989496046625403,0.11240941073153188,0.9731805024357021,0.45624297570643657,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1251.00,7,15-1251,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",0.8961071853024629,0.11593793287403464,0.9450175814901981,0.49898101603289385,1.0,1.0,0.7094074773923607,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1212.00,8,15-1212,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",0.8955538537207897,0.11662743211395299,0.9537384975150882,0.3821900129753109,1.0,1.0,0.847589703697576,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
33-3021.06,9,33-3021,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",0.8944737783896627,0.11797575754575851,0.9939533112194125,0.353528725632389,1.0,1.0,0.7076618043249734,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.99); Education fit (1.00)."
15-2031.00,10,15-2031,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",0.8937142450285454,0.11892588214039246,0.9898901179965034,0.45495379421226556,0.0,0.0,0.6853901411196592,Data and Technology,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.99); Skills (Mathematics, 0.45)."
29-1229.02,1,29-1229,Hospitalists,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.",0.9211923732658736,0.08554958662405376,0.977050016458834,0.4737072804045514,1.0,1.0,0.8960350641547551,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1215.00,2,29-1215,Family Medicine Physicians,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",0.9186667669538915,0.0885339885710601,0.9805187319884263,0.4843703216081981,1.0,1.0,0.7668604878983276,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1171.00,3,29-1171,Nurse Practitioners,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",0.9186310857861317,0.08857626905172244,0.9754416939000632,0.473650336712443,1.0,1.0,0.8656035978474306,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1123.00,4,29-1123,Physical Therapists,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",0.918109554619144,0.0891946336565752,0.9478952431261424,0.460544136624478,1.0,1.0,0.8141446867149369,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.95); Education fit (1.00)."
29-1051.00,5,29-1051,Pharmacists,"Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use. May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications.",0.9176149767332571,0.08978168987611412,0.9647429829697697,0.44641192929156237,1.0,1.0,0.8701867606529112,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.96); Education fit (1.00)."
29-1141.04,6,29-1141,Clinical Nurse Specialists,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",0.9174967054508848,0.08992216981157497,0.9784062253910011,0.44180898738032515,1.0,1.0,0.9070549277469862,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1229.01,7,29-1229,Allergists and Immunologists,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system.",0.9174042394351363,0.09003202406795019,0.9453759630739021,0.47062378068981625,1.0,1.0,0.8960350641547551,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
29-1071.00,8,29-1071,Physician Assistants,"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",0.9171351255587853,0.09035187087696295,0.9691558970344014,0.47420719318146376,1.0,1.0,0.8074783855946779,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.97); Education fit (1.00)."
29-1127.00,9,29-1127,Speech-Language Pathologists,"Assess and treat persons with speech, language, voice, and fluency disorders. May select alternative communication systems and teach their use. May perform research related to speech and language problems.",0.9166345801929209,0.09094727780129519,0.9562619298699992,0.46211225096927694,1.0,1.0,0.7648934763300084,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.96); Education fit (1.00)."
29-1141.02,10,29-1141,Advanced Practice Psychiatric Nurses,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",0.9157766525100794,0.09196931070372916,0.9638477151899614,0.45341386538101813,1.0,1.0,0.9070549277469862,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Social interest, 0.96); Education fit (1.00)."
11-3031.03,1,11-3031,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",0.907611680541696,0.10179278367502198,0.9797108264835509,0.3943588098110833,0.0,0.0,0.9520062057625351,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.98); Labor-market opportunity (96% wage percentile)."
11-9199.10,2,11-9199,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",0.90100279371546,0.10987447206052026,0.9719031400952605,0.41089014567628057,1.0,1.0,0.9309088868473923,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
11-1011.03,3,11-1011,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",0.897806161142288,0.11382617237521486,0.9878242012254316,0.39249390411959106,0.0,0.0,0.8842357159339774,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.99); Labor-market opportunity (97% wage percentile)."
11-9199.02,4,11-9199,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",0.8973213301371535,0.11442798294692536,0.9629038621178201,0.36989945754377235,1.0,1.0,0.9309088868473923,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.96); Education fit (1.00)."
11-2021.00,5,11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",0.8972281948142848,0.1145436643428126,0.9703888037170663,0.4229155952818491,0.0,1.0,0.9180198837895014,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.97); Labor-market opportunity (96% wage percentile)."
11-3031.00,6,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",0.8966031053916433,0.1153206965117437,0.9674067849652171,0.3967239612087889,1.0,1.0,0.9520062057625351,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
13-2052.00,7,13-2052,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",0.8958494660648445,0.1162589674721276,0.9746457184155848,0.39516686444394833,1.0,1.0,0.8200493345543611,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
23-1011.00,8,23-1011,Lawyers,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.",0.8936613053788409,0.11899216625036702,0.9783809369367863,0.40759889040397046,0.0,0.0,0.9455193746247782,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.98); Labor-market opportunity (95% wage percentile)."
11-3031.01,9,11-3031,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",0.892132237130301,0.12091006061688181,0.9319051939529261,0.4297509007215686,0.0,1.0,0.9520062057625351,Business,0.3,0.3,0.15,0.1,0.15,knn_cosine,cosine,"Strongest fit: Interests (Enterprising interest, 0.93); Labor-market opportunity (96% wage percentile)."
