model,profile_name,rank,onet_soc_code,soc_code,occupation_title,interest_score,skill_score,education_score,job_zone_score,labor_market_score,why
cosine,Business,1,11-3031.03,11-3031,Investment Fund Managers,0.9797108264835509,0.3943588098110833,0.0,0.0,0.9520062057625351,"Strongest fit: Interests (Enterprising interest, 0.98); Labor-market opportunity (96% wage percentile)."
cosine,Business,2,11-9199.10,11-9199,Wind Energy Development Managers,0.9719031400952605,0.41089014567628057,1.0,1.0,0.9309088868473923,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
cosine,Business,3,11-1011.03,11-1011,Chief Sustainability Officers,0.9878242012254316,0.39249390411959106,0.0,0.0,0.8842357159339774,"Strongest fit: Interests (Enterprising interest, 0.99); Labor-market opportunity (97% wage percentile)."
cosine,Business,4,11-9199.02,11-9199,Compliance Managers,0.9629038621178201,0.36989945754377235,1.0,1.0,0.9309088868473923,"Strongest fit: Interests (Enterprising interest, 0.96); Education fit (1.00)."
cosine,Business,5,11-2021.00,11-2021,Marketing Managers,0.9703888037170663,0.4229155952818491,0.0,1.0,0.9180198837895014,"Strongest fit: Interests (Enterprising interest, 0.97); Labor-market opportunity (96% wage percentile)."
knn_cosine,Business,1,11-3031.03,11-3031,Investment Fund Managers,0.9797108264835509,0.3943588098110833,0.0,0.0,0.9520062057625351,"Strongest fit: Interests (Enterprising interest, 0.98); Labor-market opportunity (96% wage percentile)."
knn_cosine,Business,2,11-9199.10,11-9199,Wind Energy Development Managers,0.9719031400952605,0.41089014567628057,1.0,1.0,0.9309088868473923,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
knn_cosine,Business,3,11-1011.03,11-1011,Chief Sustainability Officers,0.9878242012254316,0.39249390411959106,0.0,0.0,0.8842357159339774,"Strongest fit: Interests (Enterprising interest, 0.99); Labor-market opportunity (97% wage percentile)."
knn_cosine,Business,4,11-9199.02,11-9199,Compliance Managers,0.9629038621178201,0.36989945754377235,1.0,1.0,0.9309088868473923,"Strongest fit: Interests (Enterprising interest, 0.96); Education fit (1.00)."
knn_cosine,Business,5,11-2021.00,11-2021,Marketing Managers,0.9703888037170663,0.4229155952818491,0.0,1.0,0.9180198837895014,"Strongest fit: Interests (Enterprising interest, 0.97); Labor-market opportunity (96% wage percentile)."
knn_euclidean,Business,1,11-9199.10,11-9199,Wind Energy Development Managers,0.9719031400952605,0.41089014567628057,1.0,1.0,0.9309088868473923,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
knn_euclidean,Business,2,13-1082.00,13-1082,Project Management Specialists,0.9792121551511053,0.3306542134190783,1.0,1.0,0.8731742030302194,"Strongest fit: Interests (Enterprising interest, 0.98); Education fit (1.00)."
knn_euclidean,Business,3,13-2052.00,13-2052,Personal Financial Advisors,0.9746457184155848,0.39516686444394833,1.0,1.0,0.8200493345543611,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
knn_euclidean,Business,4,11-9199.02,11-9199,Compliance Managers,0.9629038621178201,0.36989945754377235,1.0,1.0,0.9309088868473923,"Strongest fit: Interests (Enterprising interest, 0.96); Education fit (1.00)."
knn_euclidean,Business,5,41-4012.00,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.9745306927482427,0.43282725492274454,1.0,1.0,0.7419343953953126,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
knn_manhattan,Business,1,41-4012.00,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.9745306927482427,0.43282725492274454,1.0,1.0,0.7419343953953126,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
knn_manhattan,Business,2,13-2052.00,13-2052,Personal Financial Advisors,0.9746457184155848,0.39516686444394833,1.0,1.0,0.8200493345543611,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
knn_manhattan,Business,3,13-1071.00,13-1071,Human Resources Specialists,0.9625030310155089,0.3442352962603308,1.0,1.0,0.7581235356978895,"Strongest fit: Interests (Enterprising interest, 0.96); Education fit (1.00)."
knn_manhattan,Business,4,11-3031.00,11-3031,Financial Managers,0.9674067849652171,0.3967239612087889,1.0,1.0,0.9520062057625351,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
knn_manhattan,Business,5,23-2011.00,23-2011,Paralegals and Legal Assistants,0.9303415686144079,0.3096034216243441,1.0,1.0,0.6467531254973728,"Strongest fit: Interests (Conventional interest, 0.93); Education fit (1.00)."
