soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
11-1011,Chief Executives,204350,3.1,129.63,269630.0,1.9,36.39,62.28,102.88,171.25,244.1,75700.0,129540.0,213990.0,356200.0,507730.0,,
11-1021,General and Operations Managers,3503020,0.3,64.87,134940.0,0.3,24.08,34.77,50.85,80.42,121.82,50090.0,72320.0,105770.0,167280.0,253390.0,,
11-2011,Advertising and Promotions Managers,21470,3.9,74.18,154280.0,3.0,30.43,43.93,64.26,96.66,137.62,63300.0,91370.0,133660.0,201050.0,286240.0,,
11-2021,Marketing Managers,395240,0.8,85.47,177770.0,0.3,43.39,59.15,80.19,104.04,141.16,90260.0,123020.0,166790.0,216410.0,293610.0,,
11-2022,Sales Managers,637080,1.1,79.02,164350.0,0.4,35.18,48.25,71.28,99.68,139.68,73170.0,100360.0,148270.0,207340.0,290540.0,,
11-2032,Public Relations Managers,74850,1.8,79.21,164760.0,0.8,39.62,51.24,70.63,98.33,137.01,82410.0,106580.0,146910.0,204520.0,284990.0,,
11-2033,Fundraising Managers,38810,1.4,67.32,140020.0,0.9,36.12,46.14,60.32,81.73,106.9,75130.0,95970.0,125470.0,169990.0,222350.0,,
11-3012,Administrative Services Managers,263960,1.2,62.44,129870.0,0.5,32.26,41.57,54.87,75.69,99.86,67100.0,86460.0,114130.0,157420.0,207720.0,,
11-3013,Facilities Managers,156180,1.1,56.2,116890.0,0.5,31.0,39.43,51.28,66.76,84.67,64480.0,82020.0,106660.0,138870.0,176120.0,,
11-3021,Computer and Information Systems Managers,670570,0.5,92.39,192160.0,0.3,51.71,66.38,84.2,106.12,143.03,107550.0,138060.0,175140.0,220730.0,297510.0,,
11-3031,Financial Managers,841710,0.5,89.86,186910.0,0.4,45.34,60.33,80.08,105.76,155.42,94310.0,125490.0,166570.0,219980.0,323270.0,,
11-3051,Industrial Production Managers,246250,0.5,64.5,134170.0,0.3,37.5,47.19,60.61,77.83,98.81,78000.0,98160.0,126060.0,161880.0,205520.0,,
11-3061,Purchasing Managers,84320,0.8,75.17,156360.0,0.4,44.47,55.55,71.19,87.63,107.35,92490.0,115550.0,148080.0,182270.0,223280.0,,
11-3071,"Transportation, Storage, and Distribution Managers",221180,0.9,58.46,121600.0,0.5,31.31,39.64,51.55,70.56,93.7,65120.0,82440.0,107230.0,146770.0,194900.0,,
11-3111,Compensation and Benefits Managers,22940,2.1,78.19,162640.0,0.8,42.86,54.41,71.75,96.45,123.35,89160.0,113170.0,149230.0,200610.0,256570.0,,
11-3121,Human Resources Managers,220660,0.6,78.96,164230.0,0.4,42.4,53.42,71.77,95.81,128.76,88200.0,111110.0,149280.0,199290.0,267810.0,,
11-3131,Training and Development Managers,48050,1.4,71.33,148370.0,1.1,38.24,48.97,63.94,85.04,112.31,79550.0,101850.0,133000.0,176870.0,233600.0,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6500,4.3,47.99,99820.0,2.2,26.12,31.87,43.22,57.14,76.93,54320.0,66300.0,89900.0,118860.0,160020.0,,
11-9021,Construction Managers,380360,1.1,59.79,124360.0,0.5,33.5,42.57,55.28,72.91,91.08,69690.0,88550.0,114990.0,151640.0,189440.0,,
11-9031,"Education and Childcare Administrators, Preschool and Daycare",73660,1.8,31.15,64800.0,0.9,18.55,22.62,28.51,36.3,47.23,38580.0,47040.0,59300.0,75500.0,98240.0,,
11-9032,"Education Administrators, Kindergarten through Secondary",328330,0.6,,116100.0,0.3,,,,,,76280.0,86040.0,105870.0,134630.0,167770.0,TRUE,
11-9033,"Education Administrators, Postsecondary",180470,0.4,60.84,126540.0,0.3,31.04,38.88,50.29,69.41,103.66,64560.0,80870.0,104590.0,144370.0,215620.0,,
11-9039,"Education Administrators, All Other",55130,2.0,48.99,101900.0,0.6,24.96,33.16,45.77,60.86,77.41,51910.0,68980.0,95200.0,126590.0,161010.0,,
11-9041,Architectural and Engineering Managers,220260,0.8,87.28,181540.0,0.3,58.08,67.0,82.34,102.16,126.33,120810.0,139360.0,171270.0,212500.0,262760.0,,
11-9051,Food Service Managers,238430,1.7,36.0,74880.0,0.6,22.09,27.34,33.36,41.73,51.75,45960.0,56870.0,69390.0,86800.0,107640.0,,
11-9071,Gambling Managers,5030,2.0,49.54,103050.0,0.9,26.9,34.89,44.82,59.13,79.01,55960.0,72570.0,93220.0,122990.0,164350.0,,
11-9072,"Entertainment and Recreation Managers, Except Gambling",37980,1.6,43.15,89750.0,0.9,22.25,29.36,38.23,50.37,66.88,46270.0,61060.0,79520.0,104770.0,139110.0,,
11-9081,Lodging Managers,42620,2.0,37.86,78740.0,1.1,19.27,23.81,33.29,45.21,61.96,40070.0,49530.0,69250.0,94030.0,128880.0,,
11-9111,Medical and Health Services Managers,597080,0.6,67.77,140970.0,0.3,35.29,45.53,59.55,79.85,107.86,73390.0,94700.0,123860.0,166100.0,224340.0,,
11-9121,Natural Sciences Managers,108690,1.2,86.66,180250.0,0.6,38.32,57.42,80.39,106.51,152.33,79710.0,119430.0,167220.0,221540.0,316850.0,,
11-9131,Postmasters and Mail Superintendents,13810,0.0,46.81,97360.0,0.0,40.91,43.58,46.47,49.5,53.72,85090.0,90650.0,96660.0,102960.0,111740.0,,
11-9141,"Property, Real Estate, and Community Association Managers",311180,1.8,40.25,83710.0,1.2,19.72,24.39,33.65,47.07,67.16,41010.0,50720.0,69990.0,97910.0,139680.0,,
11-9151,Social and Community Service Managers,209330,0.9,42.73,88880.0,0.3,25.56,30.91,38.65,49.61,63.59,53150.0,64290.0,80390.0,103200.0,132260.0,,
11-9161,Emergency Management Directors,13500,1.7,49.24,102420.0,0.6,26.06,32.65,44.87,60.81,80.02,54210.0,67910.0,93330.0,126490.0,166430.0,,
11-9171,Funeral Home Managers,13910,1.9,44.63,92840.0,1.2,23.9,29.75,37.88,49.97,75.19,49700.0,61890.0,78790.0,103940.0,156400.0,,
11-9179,"Personal Service Managers, All Other",10450,4.7,37.59,78190.0,1.8,21.59,26.03,33.54,45.41,57.07,44910.0,54130.0,69770.0,94440.0,118710.0,,
11-9199,"Managers, All Other",622190,0.5,73.99,153890.0,0.3,35.72,49.46,68.22,89.57,114.55,74300.0,102880.0,141900.0,186300.0,238270.0,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12620,6.4,68.07,141580.0,8.6,23.08,30.61,39.85,70.4,136.81,48010.0,63670.0,82890.0,146430.0,284570.0,,
13-1020,Buyers and Purchasing Agents,491430,0.7,40.27,83770.0,0.2,23.26,29.23,37.36,48.47,61.96,48380.0,60800.0,77710.0,100820.0,128870.0,,
13-1031,"Claims Adjusters, Examiners, and Investigators",324230,1.2,38.69,80470.0,0.3,23.48,29.4,37.5,47.13,56.27,48850.0,61160.0,78000.0,98030.0,117040.0,,
13-1032,"Insurance Appraisers, Auto Damage",11560,5.4,37.93,78900.0,1.0,28.06,31.28,37.61,44.17,48.84,58360.0,65050.0,78240.0,91880.0,101590.0,,
13-1041,Compliance Officers,417070,0.5,42.5,88400.0,0.3,23.18,29.46,38.81,52.41,64.29,48220.0,61280.0,80730.0,109010.0,133720.0,,
