variable,source,dtype,role
onet_soc_code,O*NET Occupation Data,string,Identifier/display only
soc_code,O*NET Occupation Data,string,Identifier/display only
occupation_title,O*NET Occupation Data,object,Identifier/display only
occupation_description,O*NET Occupation Data,object,Identifier/display only
essential_skill_active_learning_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_active_learning_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_active_listening_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_active_listening_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_critical_thinking_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_critical_thinking_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_learning_strategies_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_learning_strategies_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_mathematics_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_mathematics_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_monitoring_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_monitoring_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_reading_comprehension_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_reading_comprehension_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_science_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_science_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_speaking_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_speaking_lv,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_writing_im,O*NET content model table,float64,Candidate model/recommendation feature
essential_skill_writing_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_complex_problem_solving_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_complex_problem_solving_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_coordination_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_coordination_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_equipment_maintenance_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_equipment_maintenance_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_equipment_selection_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_equipment_selection_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_installation_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_installation_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_instructing_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_instructing_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_judgment_and_decision_making_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_judgment_and_decision_making_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_management_of_financial_resources_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_management_of_financial_resources_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_management_of_material_resources_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_management_of_material_resources_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_management_of_personnel_resources_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_management_of_personnel_resources_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_negotiation_im,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_negotiation_lv,O*NET content model table,float64,Candidate model/recommendation feature
transferable_skill_operation_and_control_im,O*NET content model table,float64,Candidate model/recommendation feature
